"","variable","gop_margin","state"
"1","AK",7,"AK"
"2","AL",20,"AL"
"3","AR",33,"AR"
"4","AZ",-1.7952380952381,"AZ"
"5","CA",-31,"CA"
"6","CO",-13.225,"CO"
"7","CT",-25,"CT"
"8","FL",-2.54825,"FL"
"9","GA",-0.576470588235289,"GA"
"10","IA",0.345454545454551,"IA"
"11","IL",-16.45,"IL"
"12","IN",11.4,"IN"
"13","KS",11,"KS"
"14","LA",22.9,"LA"
"15","MA",-35,"MA"
"16","MD",-25.1,"MD"
"17","ME",-12.2,"ME"
"18","MI",-8.33333333333334,"MI"
"19","MN",-9.63,"MN"
"20","MO",9.4,"MO"
"21","MS",14,"MS"
"22","MT",5.75,"MT"
"23","NC",-1.97733333333333,"NC"
"24","NH",-13.5,"NH"
"25","NJ",-21.3333333333333,"NJ"
"26","NM",-12,"NM"
"27","NV",-5.94,"NV"
"28","NY",-28,"NY"
"29","OH",0.883333333333333,"OH"
"30","OK",22,"OK"
"31","PA",-5.35365853658536,"PA"
"32","SC",7.105,"SC"
"33","SD",11,"SD"
"34","TX",1,"TX"
"35","UT",7,"UT"
"36","VA",-11.5,"VA"
"37","WI",-8.56818181818181,"WI"
